companyid,transcriptid,mostimportantdateutc,headline,transcriptcollectiontypename,transcriptpresentationtypename,transcriptcreationdate_utc,audiolengthsec,priority,call_quarter,call_year,gvkey,companyname,reason,best_speaker,ceo_candidates
128209,1525917,2018-07-31,"Fiserv, Inc., Q2 2018 Earnings Call, Jul 31, 2018",Audited Copy,Final,2018-08-08,3588,0,2.0,2018.0,012635,"Fiserv, Inc.",low_match_score (71.7948717948718),Jeffery Yabuki,"Jeffery Yabuki, B.S., CPA"
128209,1624817,2018-10-31,"Fiserv, Inc., Q3 2018 Earnings Call, Oct 31, 2018",Audited Copy,Final,2018-12-08,3542,0,3.0,2018.0,012635,"Fiserv, Inc.",low_match_score (71.7948717948718),Jeffery Yabuki,"Jeffery Yabuki, B.S., CPA"
128209,2717650,2019-02-07,"Fiserv, Inc., Q4 2018 Earnings Call, Feb 07, 2019",Audited Copy,Final,2023-01-12,3867,0,4.0,2018.0,012635,"Fiserv, Inc.",low_match_score (66.66666666666666),Jeffrey Yabuki,"Jeffery Yabuki, B.S., CPA"
128209,1716451,2019-04-30,"Fiserv, Inc., Q1 2019 Earnings Call, Apr 30, 2019",Audited Copy,Final,2019-05-02,3768,0,1.0,2019.0,012635,"Fiserv, Inc.",low_match_score (71.7948717948718),Jeffery Yabuki,"Jeffery Yabuki, B.S., CPA"
128209,1781547,2019-07-25,"Fiserv, Inc., Q2 2019 Earnings Call, Jul 25, 2019",Audited Copy,Final,2019-07-27,3901,0,2.0,2019.0,012635,"Fiserv, Inc.",low_match_score (71.7948717948718),Jeffery Yabuki,"Jeffery Yabuki, B.S., CPA"
128209,1872037,2019-11-06,"Fiserv, Inc., Q3 2019 Earnings Call, Nov 06, 2019",Proofed Copy,Final,2019-11-22,4433,0,3.0,2019.0,012635,"Fiserv, Inc.",low_match_score (71.7948717948718),Jeffery Yabuki,"Jeffery Yabuki, B.S., CPA"
128209,1901252,2020-02-04,"Fiserv, Inc., Q4 2019 Earnings Call, Feb 04, 2020",Proofed Copy,Final,2020-02-06,4533,0,4.0,2019.0,012635,"Fiserv, Inc.",low_match_score (71.7948717948718),Jeffery Yabuki,"Jeffery Yabuki, B.S., CPA"
140233,2554540,2022-05-05,"Tripadvisor, Inc., Q1 2022 Earnings Call, May 05, 2022",Edited Copy,Final,2022-05-05,3027,0,1.0,2022.0,199356,"Tripadvisor, Inc.",low_match_score (40.0),Stephen Kaufer,Matthew Goldberg
168864,1439689,2018-04-25,"Advanced Micro Devices, Inc., Q1 2018 Earnings Call, Apr 25, 2018",Proofed Copy,Final,2018-04-27,3302,0,1.0,2018.0,001161,"Advanced Micro Devices, Inc.",low_match_score (72.72727272727272),Lisa Su,"Lisa Su, Ph.D."
168864,1541798,2018-07-25,"Advanced Micro Devices, Inc., Q2 2018 Earnings Call, Jul 25, 2018",Audited Copy,Final,2018-08-26,3380,0,2.0,2018.0,001161,"Advanced Micro Devices, Inc.",low_match_score (72.72727272727272),Lisa Su,"Lisa Su, Ph.D."
168864,1576930,2018-10-24,"Advanced Micro Devices, Inc., Q3 2018 Earnings Call, Oct 24, 2018",Edited Copy,Final,2018-10-25,3197,0,3.0,2018.0,001161,"Advanced Micro Devices, Inc.",low_match_score (72.72727272727272),Lisa Su,"Lisa Su, Ph.D."
168864,1643513,2019-01-29,"Advanced Micro Devices, Inc., Q4 2018 Earnings Call, Jan 29, 2019",Audited Copy,Final,2019-01-31,3549,0,4.0,2018.0,001161,"Advanced Micro Devices, Inc.",low_match_score (72.72727272727272),Lisa Su,"Lisa Su, Ph.D."
168864,1716972,2019-04-30,"Advanced Micro Devices, Inc., Q1 2019 Earnings Call, Apr 30, 2019",Audited Copy,Final,2019-05-02,2787,0,1.0,2019.0,001161,"Advanced Micro Devices, Inc.",low_match_score (72.72727272727272),Lisa Su,"Lisa Su, Ph.D."
168864,1789337,2019-07-30,"Advanced Micro Devices, Inc., Q2 2019 Earnings Call, Jul 30, 2019",Audited Copy,Final,2019-08-02,2989,0,2.0,2019.0,001161,"Advanced Micro Devices, Inc.",low_match_score (72.72727272727272),Lisa Su,"Lisa Su, Ph.D."
168864,1846373,2019-10-29,"Advanced Micro Devices, Inc., Q3 2019 Earnings Call, Oct 29, 2019",Audited Copy,Final,2019-10-31,3238,0,3.0,2019.0,001161,"Advanced Micro Devices, Inc.",low_match_score (72.72727272727272),Lisa Su,"Lisa Su, Ph.D."
168864,1897451,2020-01-28,"Advanced Micro Devices, Inc., Q4 2019 Earnings Call, Jan 28, 2020",Audited Copy,Final,2020-01-31,3366,0,4.0,2019.0,001161,"Advanced Micro Devices, Inc.",low_match_score (72.72727272727272),Lisa Su,"Lisa Su, Ph.D."
