gvkey,datadate,fyear,at,dltt,dlc,oibdp,ppent,che,prcc_f,csho,dltis,dltr,sstk,prstkc,sich
006268,2021-09-30,2021,41890.0,8561.0,553.0,3652.0,4604.0,1342.0,68.08,708.733,496.0,507.0,178.0,1340.0,3585
006268,2022-09-30,2022,42158.0,8413.0,1814.0,3407.0,4313.0,2088.0,49.22,688.697,1227.0,184.0,17.0,1492.0,3585
006268,2023-09-30,2023,42242.0,8904.0,1348.0,3770.0,4525.0,924.0,53.21,680.372,1173.0,1555.0,42.0,662.0,3585
006304,2017-06-30,2017,5532.173,2680.474,249.983,1342.328,283.975,3016.74,91.51,156.84,0.0,130.0,45.359,44.171,3827
006304,2018-06-30,2018,5619.356,2237.402,0.0,1598.109,286.306,2880.318,102.53,156.048,248.693,946.25,61.444,231.925,3827
006304,2019-06-30,2019,9008.516,3173.383,249.999,1589.565,448.799,1739.385,118.2,159.475,2083.785,902.474,64.828,1132.719,3827
006304,2020-06-30,2020,9279.96,3540.555,28.994,2091.345,620.614,1980.472,194.48,155.461,1191.832,1171.033,75.634,875.344,3827
006304,2021-06-30,2021,10271.124,3493.506,52.322,2818.252,765.91,2494.522,324.21,152.776,40.343,70.0,86.098,994.969,3827
006304,2022-06-30,2022,12597.088,6742.087,32.218,4011.479,976.373,2708.008,319.08,141.804,3842.409,620.0,113.014,4052.177,3827
006304,2023-06-30,2023,14072.357,6029.09,34.042,4453.539,1240.547,3243.159,485.02,136.75,300.0,1087.25,124.847,1406.67,3827
006335,2017-12-31,2017,9198.7,2235.5,383.9,1242.5,6195.7,134.1,105.22,103.037,0.0,25.4,0.7,375.6,4011
006335,2018-12-31,2018,9469.8,2679.3,10.1,1315.1,6430.7,100.5,95.45,100.897,499.4,81.5,1.8,243.5,4011
006335,2019-12-31,2019,9786.8,3313.7,63.4,1400.8,6629.2,148.8,153.16,96.116,847.5,285.0,7.0,792.5,4011
006335,2020-12-31,2020,9964.0,3809.8,31.0,1391.5,6685.2,188.2,204.13,91.047,545.6,18.0,9.9,888.9,4011
006335,2021-12-31,2021,10428.1,3815.2,31.1,1539.6,6819.6,339.3,293.59,,0.0,7.9,19.9,0.0,4011
006375,2017-12-31,2017,16350.0,7838.0,780.0,2695.0,3716.0,281.0,67.98,345.603,1251.0,632.0,97.0,516.0,2040
006375,2018-12-31,2018,17780.0,8207.0,686.0,2403.0,3731.0,321.0,57.01,343.865,993.0,408.0,167.0,320.0,2040
006375,2019-12-31,2019,17564.0,7628.0,841.0,2241.0,4153.0,397.0,69.16,341.543,80.0,1009.0,64.0,220.0,2040
006375,2020-12-31,2020,17996.0,7266.0,846.0,2318.0,4371.0,435.0,62.23,343.891,557.0,1229.0,112.0,,2040
006375,2021-12-31,2021,18178.0,6764.0,965.0,2282.0,4467.0,286.0,64.42,341.377,361.0,650.0,63.0,240.0,2040
006375,2022-12-31,2022,18496.0,5803.0,1368.0,2195.0,4406.0,299.0,71.24,341.8,39.0,648.0,277.0,300.0,2040
006375,2023-12-31,2023,15621.0,5621.0,905.0,1967.0,3873.0,274.0,55.91,340.588,404.0,780.0,60.0,170.0,2040
006435,2017-12-31,2017,15151.0,6472.0,953.0,4050.0,7436.0,616.0,120.66,351.106,937.0,1481.0,121.0,911.0,2621
006435,2018-12-31,2018,14518.0,6247.0,1208.0,4033.0,7159.0,539.0,113.94,344.962,507.0,407.0,62.0,800.0,2621
006435,2019-12-31,2019,15283.0,6487.0,1664.0,4213.0,7846.0,442.0,137.55,341.448,706.0,707.0,228.0,800.0,2621
006435,2020-12-31,2020,17523.0,8301.0,619.0,4410.0,8582.0,303.0,134.83,338.724,1845.0,854.0,217.0,700.0,2621
